experiment,method,seed,mean_utility,cew,ruin_prob,surplus_ratio,adaptation_lag,wealth_terminal,theta_std,sharpe,max_drawdown,regime_detection_acc,turnover,theta_stability,mean_welfare,avg_cost,avg_cost_no_theta,fill_rate,ending_backlog,avg_inventory,avg_order,service_breach_count
exp1_habit_portfolio,nbo_preference_only,20290531,-98.92197274490661,-1.0,1.0,0.0016842559651540703,0.5,0.9664253512162815,0.0,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_preference_only,20290532,-98.6018822425053,-1.0,1.0,0.0015806030751309005,0.5,0.9571163719565876,0.0,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_preference_only,20290533,-98.83691291030196,-1.0,1.0,0.001604153872172868,0.5,0.9487977531289903,0.0,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_preference_only,20290534,-97.2402539813063,-1.0,1.0,0.0019268283822363617,0.5,0.9599326381208394,0.0,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_preference_only,20290535,-98.72721775494364,-1.0,1.0,0.0015400578974142372,0.5,0.9505519124138969,0.0,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_preference_only,20290536,-98.80508233207829,-1.0,1.0,0.0017825432076353318,0.5,0.9659124830771671,0.0,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_preference_only,20290537,-99.1987617014434,-1.0,1.0,0.0015456678327750188,0.5,0.9547843257178379,0.0,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_preference_only,20290538,-98.34438398892647,-1.0,1.0,0.001771377403492198,0.5,0.9712014048396611,0.0,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_preference_only,20290539,-98.82736888897665,-1.0,1.0,0.0015007136420734793,0.5,0.9515944074084866,0.0,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_preference_only,20290540,-97.15730547676685,-1.0,1.0,0.001684589676700383,0.5,0.9666499851282934,0.0,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_preference_only,20290541,-98.69780650639657,-1.0,1.0,0.001673085723814768,0.5,0.9656219653264486,0.0,,,,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290512,0.01132464975220239,0.011389016345106029,,,0.5,1.0100532816348409,,1.4439712119528634,0.0,0.60400390625,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290513,0.011321869606214289,0.01138620453989847,,,0.5,1.0100508146942682,,1.4436185977012215,0.0,0.6121419270833333,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290514,0.011321828341617133,0.011386162805455013,,,0.5,1.0100507778132837,,1.4436133118609635,0.0,0.615478515625,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290515,0.011315446701072509,0.011379708523106657,,,0.5,1.010045111197047,,1.4428034094550983,0.0,0.6082356770833333,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290516,0.011318166157394607,0.011382458929788841,,,0.5,1.010047526167522,,1.4431485653895715,0.0,0.6080729166666667,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290517,0.011317928099721177,0.011382218162462321,,,0.5,1.0100473139170743,,1.4431182246433734,0.0,0.5965169270833334,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290518,0.011317013839802575,0.011381293496660616,,,0.5,1.0100465020725542,,1.4430021547921799,0.0,0.5924479166666667,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290519,0.011322323896625703,0.011386664003057767,,,0.5,1.0100512168348883,,1.4436760935330502,0.0,0.6055501302083333,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290520,0.011318144818438309,0.011382437347942975,,,0.5,1.0100475063039067,,1.443145718688636,0.0,0.6004231770833333,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290521,0.011316532719770511,0.011380806900977314,,,0.5,1.010046076608385,,1.4429413579830546,0.0,0.6217447916666667,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290522,0.011318898926886199,0.011383200040270713,,,0.5,1.0100481771341485,,1.4432416069624292,0.0,0.6153971354166666,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290523,0.011320300080929935,0.011384617144923892,,,0.5,1.0100494199836798,,1.443419253572687,0.0,0.6012369791666666,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290524,0.011322889065164508,0.011387235607142498,,,0.5,1.0100517184259377,,1.4437477738103537,0.0,0.6001790364583334,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290525,0.011316444172734664,0.011380717346208824,,,0.5,1.010045995728956,,1.4429298172002878,0.0,0.5869140625,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290526,0.011319542682556775,0.011383851124150413,,,0.5,1.010048748955638,,1.4433233481969623,0.0,0.6148274739583333,,,,,,,,,,
exp2_hidden_regime,nbo_full_ndu,20290527,0.01131851210555507,0.0113828088157506,,,0.5,1.0100478321403776,,1.4431923022808626,0.0,0.5914713541666666,,,,,,,,,,
