experiment,method,seed_index,seed,param_dim,iterations,population,evaluation_budget,best_in_search_utility,mean_utility,cew,ruin_prob,surplus_ratio,adaptation_lag,wealth_terminal,sharpe,max_drawdown,regime_detection_acc,turnover,theta_stability
exp2,same_dim_fixed_pref_recurrent_rl,12,12223,18,33,68,2244,0.011502199564906983,0.011334637312306951,0.011399117704139705,,,0.5,,1.443967047167803,-0.00016565245330066314,0.6195475260416666,,
exp2,same_dim_fixed_pref_recurrent_rl,13,13223,18,33,68,2244,0.011922691752086646,0.010670640587565136,0.01072777491195076,,,0.5,,1.3888272830293105,-0.001177413747754047,0.5889485677083333,,
exp2,same_dim_fixed_pref_recurrent_rl,14,14223,18,33,68,2244,0.011485682795007989,0.011288620700469175,0.011352577614344161,,,0.5,,1.4379868908669056,-8.254723069885117e-05,0.6134440104166667,,
exp2,same_dim_fixed_pref_recurrent_rl,15,15223,18,33,68,2244,0.012223824241329066,0.011000455548873762,0.011061183032397892,,,0.5,,1.3517221889950757,-0.0012479565830196804,0.594482421875,,
exp2,same_dim_fixed_pref_recurrent_rl,16,16223,18,33,68,2244,0.011385119374849758,0.011391067954626634,0.011456193216382138,,,0.5,,1.4469307781543543,-2.425558581873417e-05,0.609619140625,,
exp2,same_dim_fixed_pref_recurrent_rl,17,17223,18,33,68,2244,0.01148204388414317,0.011405855598771051,0.011471150381225481,,,0.5,,1.4445103628317404,-0.00011839015090249786,0.5986328125,,
exp2,same_dim_fixed_pref_recurrent_rl,18,18223,18,33,68,2244,0.011374854423269255,0.011263901979519028,0.011327578581169284,,,0.5,,1.4355597738923773,-8.772040564972508e-05,0.607177734375,,
exp2,same_dim_fixed_pref_recurrent_rl,19,19223,18,33,68,2244,0.0117871637965055,0.011738078377513905,0.011807239962639438,,,0.5,,1.4280147957588172,-0.00038828616678565674,0.5987141927083333,,
exp2,same_dim_fixed_pref_recurrent_rl,20,20223,18,33,68,2244,0.011415846066248386,0.011294629427955397,0.01135865457463292,,,0.498046875,,1.4410856518192503,-5.1392265329530847e-05,0.605712890625,,
exp2,same_dim_fixed_pref_recurrent_rl,21,21223,18,33,68,2244,0.011952280119651477,0.010724267136100364,0.010781978207382803,,,0.5,,1.344551980863772,-0.0018614833860487704,0.605712890625,,
exp2,same_dim_fixed_pref_recurrent_rl,22,22223,18,33,68,2244,0.011515496769269593,0.011312920301280742,0.011377153376849414,,,0.5,,1.4416136402510187,-0.0001114316811719712,0.598876953125,,
exp2,same_dim_fixed_pref_recurrent_rl,23,23223,18,33,68,2244,0.011424095502678882,0.011088021071439932,0.011149721009616975,,,0.5,,1.4335999198663214,-0.00021998264209258317,0.5946451822916667,,
exp2,same_dim_fixed_pref_recurrent_rl,24,24223,18,33,68,2244,0.011433901245012874,0.011369073879420375,0.011433947417439416,,,0.5,,1.451401443887084,-3.40535026996042e-05,0.5987141927083333,,
exp2,same_dim_fixed_pref_recurrent_rl,25,25223,18,33,68,2244,0.011393925075337907,0.011369137056861642,0.011434011317250414,,,0.5,,1.4436916731902736,0.0,0.6128743489583333,,
exp2,same_dim_fixed_pref_recurrent_rl,26,26223,18,33,68,2244,0.011761798235941858,0.01104329863549203,0.01110450094216886,,,0.5,,1.4212379246177234,-0.0005012409259413028,0.6072591145833333,,
exp2,same_dim_fixed_pref_recurrent_rl,27,27223,18,33,68,2244,0.011373815268711602,0.011373815268711599,0.011438743030895537,,,0.5,,1.443375672974064,0.0,0.5804850260416667,,
exp2,same_dim_fixed_pref_recurrent_rl,28,28223,18,33,68,2244,0.011549043895314165,0.011263134425528988,0.011326802332948915,,,0.5,,1.41689737597902,-0.00032885062597855577,0.6023763020833333,,
exp2,same_dim_fixed_pref_recurrent_rl,29,29223,18,33,68,2244,0.011373815268711602,0.011373815268711599,0.011438743030895537,,,0.5,,1.443375672974064,0.0,0.614501953125,,
exp2,same_dim_fixed_pref_recurrent_rl,30,30223,18,33,68,2244,0.011390704769718473,0.011395804659849684,0.01146098419756214,,,0.5,,1.443885964121602,-1.0069616290834475e-05,0.60205078125,,
exp2,same_dim_oracle_joint_action_rl,1,1223,18,33,68,2244,-0.10680356632200626,-0.10050150099309071,-0.09561624506201583,,,0.19986979166666666,,0.5138202404188822,-0.06869198254649042,1.0,,
exp2,same_dim_oracle_joint_action_rl,2,2223,18,33,68,2244,-0.11537512354324672,-0.10957192381893388,-0.10378229735580002,,,0.19620768229166666,,0.5341120964344914,-0.0718894038329708,1.0,,
exp2,same_dim_oracle_joint_action_rl,3,3223,18,33,68,2244,-0.11414012137503016,-0.1109375380161243,-0.10500534967542574,,,0.18253580729166666,,0.47857433566167407,-0.0746232387337909,1.0,,
exp2,same_dim_oracle_joint_action_rl,4,4223,18,33,68,2244,-0.11811516478745372,-0.11083594447613118,-0.1049144193817374,,,0.173828125,,0.5079284288330239,-0.07210509898264207,1.0,,
exp2,same_dim_oracle_joint_action_rl,5,5223,18,33,68,2244,-0.10213568879253926,-0.11837768717331412,-0.11163953310822938,,,0.16902669270833334,,0.4431906216280883,-0.07859887031254649,1.0,,
exp2,same_dim_oracle_joint_action_rl,6,6223,18,33,68,2244,-0.1106438596920339,-0.10990393721805929,-0.10407980425074059,,,0.16910807291666666,,0.49068810895781056,-0.07077867421022126,1.0,,
exp2,same_dim_oracle_joint_action_rl,7,7223,18,33,68,2244,-0.11218137228152705,-0.10960713041051579,-0.10381384957099926,,,0.18595377604166666,,0.448433067216374,-0.07293142150800065,1.0,,
exp2,same_dim_oracle_joint_action_rl,8,8223,18,33,68,2244,-0.10692108995484599,-0.12004642677842031,-0.11312073918559473,,,0.204345703125,,0.36522331007264114,-0.07485139988270403,1.0,,
exp2,same_dim_oracle_joint_action_rl,9,9223,18,33,68,2244,-0.11266802443501331,-0.11313131305451635,-0.10696661452529344,,,0.181640625,,0.4380940789012347,-0.07279393889639219,1.0,,
exp2,same_dim_oracle_joint_action_rl,10,10223,18,33,68,2244,-0.10520534451215591,-0.1099135678475792,-0.10408843248467758,,,0.21183268229166666,,0.49033037744847485,-0.0724677309799852,1.0,,
