audit,method,seed,param_dim,policy_evaluations,search_mean_welfare,theta_cost_multiplier,evaluation_variant,mean_welfare,mean_welfare_no_theta_cost,avg_cost,avg_cost_no_theta,fill_rate,ending_backlog,avg_inventory,avg_order,theta_std,theta_mean_abs_deviation_from_one,service_breach_count
equal_budget_inventory,full_ndu_inventory,14061,12,192,-3.708416716352194,1.0,normal,-3.724623958467872,-3.7193199839829236,4.32369304791813,4.318389073433182,0.9996199643062823,0.3429103826115279,8.622471860462971,23.06207901426791,0.2187079252776101,0.2800870978132645,1.2630208333333333
theta_ablation_inventory,full_ndu_inventory,14061,12,192,-3.708416716352194,1.0,fixed_one,-3.8438809747852876,-3.8438809747852876,4.419225591693497,4.419225591693497,0.9995547958635261,0.39928745077060873,7.605804409138417,23.05999826917208,0.0,0.0,2.0364583333333335
theta_ablation_inventory,full_ndu_inventory,14061,12,192,-3.708416716352194,1.0,permuted,-3.894832895284516,-3.889526379028949,4.485850353087403,4.4805438368318375,0.999560775975361,0.39458035856758816,8.825549747180665,23.066504041199625,0.23615491715580025,0.28007757367589664,1.515625
equal_budget_inventory,full_ndu_inventory,15061,12,192,-3.69684550135102,1.0,normal,-3.6973570668754117,-3.6950952274167554,4.291051790943195,4.28878995148454,0.9996805905084729,0.3022680013310837,8.296980284814637,23.09424030750917,0.15786114092387613,0.19349871795404436,1.4583333333333333
theta_ablation_inventory,full_ndu_inventory,15061,12,192,-3.69684550135102,1.0,fixed_one,-3.802074801848105,-3.802074801848105,4.403303396130323,4.403303396130323,0.9996359961602773,0.3334298149892603,9.129373028665292,23.098882615866206,0.0,0.0,1.1953125
theta_ablation_inventory,full_ndu_inventory,15061,12,192,-3.69684550135102,1.0,permuted,-3.8741841002364716,-3.871851584525892,4.457567680314812,4.455235164604232,0.9995831037597925,0.385655874039152,8.441260272370132,23.097943472732453,0.20108253261186218,0.19662551160950528,1.7760416666666667
equal_budget_inventory,full_ndu_inventory,16061,12,192,-3.6464937093119545,1.0,normal,-3.791424370369127,-3.789966872199738,4.3768608853636355,4.375403387194246,0.9996248768743135,0.34783974108944443,8.230507514222223,22.95912918436625,0.14439105458805188,0.15721449018515743,1.71875
theta_ablation_inventory,full_ndu_inventory,16061,12,192,-3.6464937093119545,1.0,fixed_one,-3.959431721075647,-3.959431721075647,4.55278667936014,4.55278667936014,0.9997553072855615,0.22185502420421513,9.111540493000398,23.011629028097463,0.0,0.0,1.4895833333333333
theta_ablation_inventory,full_ndu_inventory,16061,12,192,-3.6464937093119545,1.0,permuted,-3.9152401912151333,-3.913732762050538,4.496715725192417,4.495208296027822,0.9995887386221605,0.3770457103098391,8.407929681758823,22.9634374726416,0.16525387166697303,0.16007523847672242,1.8411458333333333
equal_budget_inventory,full_ndu_inventory,17061,12,192,-3.7533823208626957,1.0,normal,-3.735181270695776,-3.734250951760482,4.338817401237871,4.337887082302577,0.9996830319427619,0.29398428696180523,9.01420122362355,22.99849240383026,0.0846769107155259,0.12263127936770617,1.1276041666666667
theta_ablation_inventory,full_ndu_inventory,17061,12,192,-3.7533823208626957,1.0,fixed_one,-3.8283685226232755,-3.8283685226232755,4.441423077347058,4.441423077347058,0.9997079912154728,0.2641978645250927,9.851760037852765,23.007759339269338,0.0,0.0,0.8203125
theta_ablation_inventory,full_ndu_inventory,17061,12,192,-3.7533823208626957,1.0,permuted,-3.790205758499193,-3.7892152763223153,4.390648500628754,4.389658018451876,0.9996354208911952,0.33279211591172464,9.007399102307085,22.99779381631031,0.11271721212596524,0.12701972280407242,1.2213541666666667
equal_budget_inventory,full_ndu_inventory,18061,12,192,-3.7107778564041753,1.0,normal,-3.7707034470622194,-3.769364802637206,4.374020267204563,4.372681622779549,0.9998481962677929,0.13345680259795348,8.984365236674895,22.80799458102526,0.12770840156344276,0.14358042459373552,1.1822916666666667
theta_ablation_inventory,full_ndu_inventory,18061,12,192,-3.7107778564041753,1.0,fixed_one,-3.7914926338608432,-3.7914926338608432,4.383979838004078,4.383979838004078,0.9998030880179044,0.16884469774082625,8.494658176396522,22.803864465692627,0.0,0.0,1.53125
theta_ablation_inventory,full_ndu_inventory,18061,12,192,-3.7107778564041753,1.0,permuted,-3.810744495899335,-3.8093730207947463,4.4100613118529415,4.408689836748354,0.9998071801192009,0.1674480032972385,8.981157094897243,22.80744132477926,0.15555401203032246,0.14546733593274788,1.3046875
equal_budget_inventory,full_ndu_inventory,19061,12,192,-3.585894261662454,1.0,normal,-3.7038509922447838,-3.696033717254411,4.291839055651317,4.284021780660944,0.9996117891758166,0.34380197310826377,8.039351394702864,22.979692205943522,0.010137769955611367,0.4166134014588741,1.6302083333333333
theta_ablation_inventory,full_ndu_inventory,19061,12,192,-3.585894261662454,1.0,fixed_one,-4.218496205996046,-4.218496205996046,4.851381017851274,4.851381017851274,0.9999504452319036,0.042051362424463945,12.334914993475246,23.095136568071847,0.0,0.0,0.22395833333333334
theta_ablation_inventory,full_ndu_inventory,19061,12,192,-3.585894261662454,1.0,permuted,-3.706865884791147,-3.69904830972904,4.295140115437491,4.287322540375384,0.9996084975807928,0.3453470487599409,8.035769101690034,22.979616143080847,0.011997722338288394,0.4166225664809802,1.6197916666666667
