experiment,method,iteration,loss_perf,hjb_loss,terminal_loss,residual_mean_abs,mean_hamiltonian,mean_action,omega,algorithm,backend,initialization,ad_terms
exp1_habit_portfolio,nbo_preference_only,270,77.01712240965041,4462.400302728937,178.3599205286785,63.49710321833613,-77.01712240965041,0.55;0.07;0.25,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp1_habit_portfolio,nbo_preference_only,315,83.89159745692274,7516.473453123231,224.19160952944677,78.97150891497091,-83.89159745692274,0.55;0.07;0.25,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp1_habit_portfolio,nbo_preference_only,360,71.9244362936693,6320.628118079117,261.6198671732033,69.39289917707328,-71.9244362936693,0.55;0.07;0.25,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp1_habit_portfolio,nbo_preference_only,405,75.90752092605628,6554.620254748889,311.51317491279354,66.76967893166689,-75.90752092605628,0.55;0.07;0.25,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp1_habit_portfolio,nbo_preference_only,450,81.52162195415204,5085.728744939365,319.61123416028175,69.29548598309158,-81.52162195415204,0.55;0.07;0.25,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_full_ndu,1,0.3759149993663937,26.33319178507735,0.021399156094293964,4.442357014034884,-0.3759149993663937,0.000115;0.25;0.55,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_full_ndu,45,0.051144794464979194,0.03580068060138971,9.247034419226766e-06,0.15619036204052683,-0.051144794464979194,0.000114961;0.250044;0.550003,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_full_ndu,90,0.08871410096588005,0.0074976783960680965,1.799857264299039e-05,0.06879322613924779,-0.08871410096588005,0.000114928;0.250077;0.549991,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_full_ndu,135,0.05234211026214389,0.004583854560406912,1.0427680125659053e-05,0.054377734463663376,-0.05234211026214389,0.000114887;0.250105;0.550015,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp2_hidden_regime,nbo_full_ndu,180,0.055485252664760565,0.005335916742892806,1.45127351440595e-05,0.05846884799280105,-0.055485252664760565,0.0001149;0.250121;0.549997,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
