audit,epsilon,method,seed,training_samples,noise_std,beta_p,beta_z,train_p_rmse_direct,train_p_rmse_z_inverted,mean_welfare,avg_cost,fill_rate,ending_backlog,avg_inventory,avg_order,service_breach_count,theta_rmse,p_rmse
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,oracle_p_inventory,21441,640,0.035,"[-0.04892025  0.87656708  0.41987187  0.21928212 -0.18185599  0.08992852
  0.13481695  0.002356  ]","[-0.02489196  0.3483268   0.19121172  0.10082206 -0.08466745  0.05478176
  0.18714054 -0.00223886]",0.0035624142748817323,0.007751710251537296,-6.278828450817655,6.916093697089922,0.9999657729715334,0.029906280478184784,19.94748205644484,23.115887433703303,0.08203125,0.0,0.0
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,learned_direct_p_inventory,21441,640,0.035,"[-0.04892025  0.87656708  0.41987187  0.21928212 -0.18185599  0.08992852
  0.13481695  0.002356  ]","[-0.02489196  0.3483268   0.19121172  0.10082206 -0.08466745  0.05478176
  0.18714054 -0.00223886]",0.0035624142748817323,0.007751710251537296,-6.282843407774898,6.920104627235445,0.9999652696200684,0.03033386230778882,19.963276496335634,23.114783716061865,0.08203125,0.0028996411545767647,0.003449822153669961
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,learned_z_inventory,21441,640,0.035,"[-0.04892025  0.87656708  0.41987187  0.21928212 -0.18185599  0.08992852
  0.13481695  0.002356  ]","[-0.02489196  0.3483268   0.19121172  0.10082206 -0.08466745  0.05478176
  0.18714054 -0.00223886]",0.0035624142748817323,0.007751710251537296,-6.2700995740493894,6.90731361986588,0.9999666971333113,0.029129006807267523,19.911361770421166,23.11837919817359,0.083984375,0.006725507552064598,0.007964561529791083
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,oracle_p_inventory,22441,640,0.035,"[-0.05422606  0.98212768  0.40609966  0.22728426 -0.18591641  0.10130119
  0.01318592  0.01624312]","[-0.02361782  0.40737634  0.18189988  0.10050525 -0.08319455  0.04647919
 -0.02177374  0.01336791]",0.0037808870445610967,0.0037878560327030257,-6.271073060965606,6.90780659432048,0.9999359299506092,0.05462268144913343,19.903789901053386,23.173207600935253,0.091796875,0.0,0.0
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,learned_direct_p_inventory,22441,640,0.035,"[-0.05422606  0.98212768  0.40609966  0.22728426 -0.18591641  0.10130119
  0.01318592  0.01624312]","[-0.02361782  0.40737634  0.18189988  0.10050525 -0.08319455  0.04647919
 -0.02177374  0.01336791]",0.0037808870445610967,0.0037878560327030257,-6.2604478059766535,6.896997046722186,0.9999348660306918,0.05555879649711933,19.862123980616538,23.172256575663248,0.09765625,0.0035336000052687095,0.004220174866003164
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,learned_z_inventory,22441,640,0.035,"[-0.05422606  0.98212768  0.40609966  0.22728426 -0.18591641  0.10130119
  0.01318592  0.01624312]","[-0.02361782  0.40737634  0.18189988  0.10050525 -0.08319455  0.04647919
 -0.02177374  0.01336791]",0.0037808870445610967,0.0037878560327030257,-6.269010243715916,6.9056827967364285,0.999935631627564,0.05488100611605605,19.89355907437536,23.173493189185557,0.09375,0.0031040039463444287,0.004238208273025388
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,oracle_p_inventory,23441,640,0.035,"[-0.04700322  0.89568964  0.43268118  0.21123444 -0.16526768  0.10163262
  0.02715804  0.00292693]","[-0.0205593   0.32845875  0.17941531  0.08962753 -0.06784221  0.04601795
  0.17968114  0.03132233]",0.0028768922970055866,0.008606043791652402,-6.325756445186691,6.963128339205787,0.999971779721137,0.024416644816596875,20.08815629691275,23.353259997095176,0.080078125,0.0,0.0
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,learned_direct_p_inventory,23441,640,0.035,"[-0.04700322  0.89568964  0.43268118  0.21123444 -0.16526768  0.10163262
  0.02715804  0.00292693]","[-0.0205593   0.32845875  0.17941531  0.08962753 -0.06784221  0.04601795
  0.17968114  0.03132233]",0.0028768922970055866,0.008606043791652402,-6.334777036538199,6.9721530314525015,0.9999722923330379,0.02397541665201558,20.12133299005069,23.35432480026681,0.080078125,0.0030491191954303454,0.0037495396391945468
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,learned_z_inventory,23441,640,0.035,"[-0.04700322  0.89568964  0.43268118  0.21123444 -0.16526768  0.10163262
  0.02715804  0.00292693]","[-0.0205593   0.32845875  0.17941531  0.08962753 -0.06784221  0.04601795
  0.17968114  0.03132233]",0.0028768922970055866,0.008606043791652402,-6.330261880289951,6.967639174682724,0.9999724547678466,0.02381769681103959,20.105258541896553,23.354156085573244,0.080078125,0.006154691632215671,0.008422863005661705
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,oracle_p_inventory,24441,640,0.035,"[-0.04904771  0.98689436  0.40154492  0.21962008 -0.17706626  0.10692051
 -0.19413639  0.02769326]","[-0.02078677  0.39586326  0.18332203  0.0946297  -0.07564657  0.0526955
 -0.09439675  0.02016879]",0.0030405595672317863,0.007195164292888024,-6.335992962854566,6.973181051662669,0.999985425163513,0.01317621587206786,20.106754993255635,23.37954718457138,0.08984375,0.0,0.0
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,learned_direct_p_inventory,24441,640,0.035,"[-0.04904771  0.98689436  0.40154492  0.21962008 -0.17706626  0.10692051
 -0.19413639  0.02769326]","[-0.02078677  0.39586326  0.18332203  0.0946297  -0.07564657  0.0526955
 -0.09439675  0.02016879]",0.0030405595672317863,0.007195164292888024,-6.336541730986931,6.973731398844075,0.999985622544643,0.013012085067269974,20.107977311115896,23.380630838482066,0.08984375,0.0023734606765555516,0.0030263423648423473
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,learned_z_inventory,24441,640,0.035,"[-0.04904771  0.98689436  0.40154492  0.21962008 -0.17706626  0.10692051
 -0.19413639  0.02769326]","[-0.02078677  0.39586326  0.18332203  0.0946297  -0.07564657  0.0526955
 -0.09439675  0.02016879]",0.0030405595672317863,0.007195164292888024,-6.349755269778834,6.987065680164806,0.9999860669232465,0.012639922393776967,20.155489710430547,23.383483716803372,0.0859375,0.006339290154326855,0.00829246975981082
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,oracle_p_inventory,25441,640,0.035,"[-0.04810363  0.99071133  0.42468999  0.21459672 -0.17850766  0.1075292
 -0.1955731  -0.00443879]","[-0.02042011  0.39828762  0.2251663   0.09258269 -0.07000002  0.05910329
  0.04517405 -0.04394511]",0.0024569393788916147,0.01203259750679862,-6.2768494739282925,6.913879303308791,0.9999949396100623,0.00419839529440507,19.921024570094517,23.11402998736682,0.09765625,0.0,0.0
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,learned_direct_p_inventory,25441,640,0.035,"[-0.04810363  0.99071133  0.42468999  0.21459672 -0.17850766  0.1075292
 -0.1955731  -0.00443879]","[-0.02042011  0.39828762  0.2251663   0.09258269 -0.07000002  0.05910329
  0.04517405 -0.04394511]",0.0024569393788916147,0.01203259750679862,-6.281559993995611,6.918535521618322,0.9999954761090889,0.003745714398486734,19.938773708652562,23.115701495751626,0.099609375,0.0024274264171565436,0.0029049687049794272
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,learned_z_inventory,25441,640,0.035,"[-0.04810363  0.99071133  0.42468999  0.21459672 -0.17850766  0.1075292
 -0.1955731  -0.00443879]","[-0.02042011  0.39828762  0.2251663   0.09258269 -0.07000002  0.05910329
  0.04517405 -0.04394511]",0.0024569393788916147,0.01203259750679862,-6.2954360822261535,6.932539068905365,0.9999967600536515,0.002671963012226032,19.98811177069903,23.120881296021437,0.095703125,0.011070707703593903,0.013963054707280083
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,oracle_p_inventory,26441,640,0.035,"[-0.05224817  1.00461072  0.3911797   0.21998387 -0.18908583  0.10018763
 -0.39651393  0.03096778]","[-0.01987035  0.35352416  0.18117623  0.09881455 -0.07133461  0.0473524
  0.21797757  0.01769407]",0.0036493906674155024,0.006341710853862803,-6.270837201983085,6.908606132310507,0.9999774639471779,0.01955840814207442,19.922385692147362,23.15855209081669,0.068359375,0.0,0.0
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,learned_direct_p_inventory,26441,640,0.035,"[-0.05224817  1.00461072  0.3911797   0.21998387 -0.18908583  0.10018763
 -0.39651393  0.03096778]","[-0.01987035  0.35352416  0.18117623  0.09881455 -0.07133461  0.0473524
  0.21797757  0.01769407]",0.0036493906674155024,0.006341710853862803,-6.259078505838199,6.896846849103545,0.9999773905644183,0.019620226944084024,19.88004399462885,23.15757141495818,0.068359375,0.0034551725131639973,0.004219614854764768
