method,t,inventory,regime,theta_previous,order_up_to,theta_next
exact_dp_dynamic_shortage_penalty_only,4,-1,0,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,4,-1,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,4,-2,0,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,4,-2,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,4,-3,0,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,4,-3,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,4,2,0,0.75,3,1.0
exact_dp_dynamic_shortage_penalty_only,4,2,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,5,3,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,5,3,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,5,2,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,5,2,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,5,1,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,5,1,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,5,0,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,5,0,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,5,-1,0,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,5,-1,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,5,-2,0,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,5,-2,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,5,1,0,0.75,3,1.0
exact_dp_dynamic_shortage_penalty_only,5,1,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,5,0,0,0.75,3,1.0
exact_dp_dynamic_shortage_penalty_only,5,0,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,5,-1,0,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,5,-1,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,5,-2,0,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,5,-2,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,5,-3,0,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,5,-3,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,5,2,0,0.75,3,1.0
exact_dp_dynamic_shortage_penalty_only,5,2,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,6,3,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,6,3,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,6,2,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,6,2,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,6,1,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,6,1,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,6,0,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,6,0,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,6,-1,0,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,6,-1,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,6,-2,0,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,6,-2,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,6,1,0,0.75,3,1.0
exact_dp_dynamic_shortage_penalty_only,6,1,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,6,0,0,0.75,3,1.0
exact_dp_dynamic_shortage_penalty_only,6,0,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,6,-1,0,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,6,-1,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,6,-2,0,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,6,-2,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,6,-3,0,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,6,-3,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,6,2,0,0.75,3,1.0
exact_dp_dynamic_shortage_penalty_only,6,2,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,7,3,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,7,3,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,7,2,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,7,2,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,7,1,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,7,1,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,7,0,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,7,0,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,7,-1,0,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,7,-1,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,7,-2,0,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,7,-2,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,7,1,0,0.75,3,1.0
exact_dp_dynamic_shortage_penalty_only,7,1,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,7,0,0,0.75,3,1.0
exact_dp_dynamic_shortage_penalty_only,7,0,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,7,-1,0,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,7,-1,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,7,-2,0,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,7,-2,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,7,-3,0,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,7,-3,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,7,2,0,0.75,3,1.0
exact_dp_dynamic_shortage_penalty_only,7,2,1,0.75,3,0.75
exact_dp_full_order_and_valuation_control,0,2,0,1.0,4,1.35
exact_dp_full_order_and_valuation_control,0,2,1,1.0,6,1.35
exact_dp_full_order_and_valuation_control,1,4,0,1.35,0,1.35
exact_dp_full_order_and_valuation_control,1,4,1,1.35,6,1.35
exact_dp_full_order_and_valuation_control,1,3,0,1.35,4,1.35
exact_dp_full_order_and_valuation_control,1,3,1,1.35,6,1.35
