scenario,method,seed,param_dim,cem_iterations,cem_population,policy_evaluations,search_mean_welfare,mean_welfare,avg_cost,fill_rate,ending_backlog,avg_inventory,avg_order,theta_std,service_breach_count
volatile_demand,fixed_service_base_stock,9858,3,8,18,144,-5.543448219923721,-5.647821857103081,6.215413284008268,0.9992790064881483,0.7276892745713516,12.425465848965871,25.23959264609182,0.0,2.2213541666666665
volatile_demand,fixed_service_base_stock,10858,3,8,18,144,-5.737966984366599,-5.547584552828719,6.136515823638239,0.9995636744761901,0.44649409327525236,13.290970077953105,25.309336695613904,0.0,1.5859375
volatile_demand,fixed_service_base_stock,11858,3,8,18,144,-5.39478246762203,-5.613668778713965,6.19146157637532,0.9996752715826692,0.3257946965476952,12.76943032934165,25.144088082343913,0.0,1.9869791666666667
volatile_demand,fixed_service_base_stock,12858,3,8,18,144,-5.498281054352633,-5.594201287069363,6.169665425543104,0.9992474704342175,0.8007782415703941,12.67847119282292,25.57939504605787,0.0,1.9505208333333333
high_shortage_penalty,full_ndu_inventory,1955,12,10,24,240,-3.9271009893650075,-3.8747393490902025,4.595251266926379,0.9999291602108257,0.062281531625641984,9.98020989107872,22.794179149423808,0.04802808050974707,0.7057291666666666
high_shortage_penalty,full_ndu_inventory,2955,12,10,24,240,-3.9300072748981036,-3.899493663928039,4.612727884361733,0.9998867710105644,0.10557675048659627,9.558091660154622,23.166424386114745,0.1574693297302656,0.8307291666666666
high_shortage_penalty,full_ndu_inventory,3955,12,10,24,240,-3.894292070457439,-3.9119307655827362,4.626493100980398,0.9998154980243154,0.1734834012735551,9.70202549910044,22.985218065649224,0.12140333748737175,0.7942708333333334
high_shortage_penalty,full_ndu_inventory,4955,12,10,24,240,-3.9104455722491593,-3.8806047982503293,4.598952710693072,0.9998370609588852,0.15468303489417287,9.763741118172142,22.948195195410435,0.12199740022731513,0.7291666666666666
high_shortage_penalty,full_ndu_inventory,5955,12,10,24,240,-3.8199647560832117,-3.8677220901370766,4.593326103224286,0.9997716395354956,0.2071372322373005,10.141868083407317,22.908823935412613,0.06371386414016118,0.5859375
high_shortage_penalty,full_ndu_inventory,6955,12,10,24,240,-3.9560936954462904,-3.965713120312716,4.68762695260861,0.9999108858557081,0.08649151732692666,10.236088773154304,22.991706164071843,0.09260509233596097,0.6770833333333334
high_shortage_penalty,full_ndu_inventory,7955,12,10,24,240,-3.8385904372672486,-3.8939144440745572,4.599944990859357,0.999806943521207,0.18250396284492765,9.297002768346873,22.951252556019295,0.15316318370712168,0.9479166666666666
high_shortage_penalty,full_ndu_inventory,8955,12,10,24,240,-3.8497147296021823,-3.8973681458606357,4.613123887197079,0.9997752754038363,0.1992802079130965,9.81007236017336,22.94516083786982,0.08801704359431149,0.765625
high_shortage_penalty,full_ndu_inventory,9955,12,10,24,240,-3.879949048805912,-3.8614084225363325,4.580314661574932,0.9997902948988,0.18741912209905887,9.816488862196296,23.03607155169887,0.15254826584815775,0.7109375
high_shortage_penalty,full_ndu_inventory,10955,12,10,24,240,-3.868997734567917,-3.928593632001179,4.642503300897778,0.9998071033049052,0.18181346864512613,9.775205832601225,23.093518573642132,0.06416411796239259,0.8046875
high_shortage_penalty,action_only_adaptive_base_stock,2955,7,9,22,198,-3.9060286842236933,-3.8761159821343596,4.587739704619977,0.9998830892090123,0.10939224249643349,9.40198188019636,23.164554611840817,0.0,0.859375
high_shortage_penalty,action_only_adaptive_base_stock,3955,7,9,22,198,-3.8632438141362355,-3.8680728702900016,4.582388117043176,0.9998196422020885,0.16847552869816698,9.608578502218236,22.983255069856057,0.0,0.7994791666666666
high_shortage_penalty,action_only_adaptive_base_stock,4955,7,9,22,198,-3.9409820555985364,-3.883114393809821,4.596758016687303,0.9997790984607876,0.20252797745520393,9.623650595915896,22.93028121095189,0.0,0.8046875
high_shortage_penalty,action_only_adaptive_base_stock,5955,7,9,22,198,-3.7794157235467587,-3.8278251548146898,4.5463650735342425,0.9997818883739878,0.19951257108671502,9.601253871791451,22.906825434553497,0.0,0.7161458333333334
high_shortage_penalty,action_only_adaptive_base_stock,6955,7,9,22,198,-3.957161317389096,-3.9367295538933926,4.6605120598281085,0.9999115905369876,0.0842252555810486,10.29054574298017,22.98611833954388,0.0,0.6432291666666666
high_shortage_penalty,action_only_adaptive_base_stock,7955,7,9,22,198,-3.871340541912403,-3.9296899769084823,4.629473073963229,0.9997825409180437,0.20378737785640497,9.133353979084863,22.941383808834175,0.0,1.0572916666666667
high_shortage_penalty,action_only_adaptive_base_stock,8955,7,9,22,198,-3.8502510475525016,-3.863896389489382,4.5812121725079145,0.9997736460194947,0.2015094996483112,9.796233908056983,22.943129627251864,0.0,0.7369791666666666
high_shortage_penalty,action_only_adaptive_base_stock,9955,7,9,22,198,-3.9579231147143545,-3.9316199312968485,4.638080689663773,0.9997014614070446,0.2604404691960423,9.54464227355328,23.028828516462223,0.0,0.921875
high_shortage_penalty,action_only_adaptive_base_stock,10955,7,9,22,198,-3.8918297381748927,-3.9492695369799122,4.658109074821198,0.9998463219657494,0.14398107938957308,9.592990572459618,23.10844752850782,0.0,0.9036458333333334
high_shortage_penalty,action_only_adaptive_base_stock,11955,7,9,22,198,-3.7631901956221134,-3.8444922286466596,4.558990219876393,0.9998539552171649,0.1391153164134485,9.61321855450823,23.022378895661124,0.0,0.8020833333333334
high_shortage_penalty,fixed_service_base_stock,3955,3,8,18,144,-3.884398595041148,-3.8822142785294544,4.59280826367172,0.9997596190500632,0.2237695089829669,9.509784632562228,22.96795340094462,0.0,0.8567708333333334
high_shortage_penalty,fixed_service_base_stock,4955,3,8,18,144,-3.956299175127968,-3.896251638077352,4.612320273543792,0.9997931348736605,0.18990052912017188,9.789974507682793,22.936452545828416,0.0,0.7630208333333334
high_shortage_penalty,fixed_service_base_stock,5955,3,8,18,144,-3.818524720039971,-3.8528648460030257,4.567692208959457,0.9997680118901506,0.20983976025999695,9.587824261351058,22.909005472946006,0.0,0.78125
high_shortage_penalty,fixed_service_base_stock,6955,3,8,18,144,-4.1475118244186575,-4.001025003687402,4.709204972010728,0.9998070471042096,0.17200499681797435,9.805832209946987,22.954916054517145,0.0,0.9088541666666666
high_shortage_penalty,fixed_service_base_stock,7955,3,8,18,144,-3.943728904421165,-4.004529055510005,4.701520902053171,0.9997751834080525,0.20852414253019366,9.321203965127863,22.940194500799787,0.0,1.1067708333333333
high_shortage_penalty,fixed_service_base_stock,8955,3,8,18,144,-3.856541134839047,-3.874914931856585,4.584896055280902,0.9997704910622088,0.20517125318037166,9.517797517040455,22.941525444361456,0.0,0.8697916666666666
high_shortage_penalty,fixed_service_base_stock,9955,3,8,18,144,-4.007346141482982,-3.9828142097182053,4.676710902431312,0.9996152220399762,0.33508562772339817,9.20339124825915,23.014629527481304,0.0,1.1354166666666667
high_shortage_penalty,fixed_service_base_stock,10955,3,8,18,144,-3.932588005674181,-3.9312055342329315,4.639040244283511,0.9997857808825173,0.19957279568797356,9.516440267087376,23.087076318349386,0.0,0.9114583333333334
high_shortage_penalty,fixed_service_base_stock,11955,3,8,18,144,-3.7672233440332996,-3.8450306786929853,4.557417102582337,0.9998427595322125,0.14885398419169654,9.508875828025511,23.017693065860005,0.0,0.8385416666666666
high_shortage_penalty,fixed_service_base_stock,12955,3,8,18,144,-4.040718142963669,-3.893000406255695,4.606713172935421,0.9998316070189186,0.1608561457986902,9.804397891239997,22.910662417183072,0.0,0.8125
