method,seed,sku_count,test_months,training_months_per_sku,source_dataset,split,external_avg_cost,valuation_adjusted_welfare,theta_free_external_welfare,fill_rate,avg_order,avg_ending_inventory,avg_ending_backlog,lost_sales_rate,capacity_excess_rate,theta_mean,theta_std,target_fill_mean,periods
seasonal_service_tuned_base_stock,7779,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.383496279745,-0.10945217759,-0.10945217759,0.980011371635,0.872534910809,0.833136404604,0.0633765246217,0,0.038651130191,1,0,0.93,156
mpc_scenario_base_stock,7779,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.384587895849,-0.121597186809,-0.121597186809,0.981031938435,0.870833333333,0.798672977415,0.063410726177,0,0.051620506521,1,0,0.93,156
approximate_dp_inventory,7779,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.379975669771,-0.0875961953016,-0.0875961953016,0.984219576675,0.915070080594,0.96767593416,0.0535017835618,0,0.0517992110117,1,0,0.93,156
tabular_inventory_rl,7779,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.42661492775,-0.179077637158,-0.179077637158,0.97611163662,0.853112073164,0.77739542588,0.0785791183467,0,0.0407032247715,1,0,0.93,156
full_ndu_theta_service_control,7876,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.39007041744,-0.0913824469218,-0.108768010493,0.981886329139,0.919515446033,0.932107256395,0.0554657558968,0,0.0675819305858,1.03683728928,0.189942442003,0.931977908239,156
rolling_forecast_base_stock_backlog,7876,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.456035749463,-0.232609758735,-0.232609758735,0.971347787093,0.862368823759,0.740981929474,0.0881909967804,0,0.0541917407029,1,0,0.93,156
rolling_forecast_base_stock_lost_sales,7876,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.704974332061,-0.495216319249,-0.495216319249,0.90900107398,0.813130963235,0.743403247338,0,0.0909989260197,0.0329377515981,1,0,0.93,156
seasonal_service_tuned_base_stock,7876,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.417214544934,-0.161892658826,-0.161892658826,0.977321141583,0.886605403085,0.810348542084,0.0717109377745,0,0.0548505131066,1,0,0.93,156
mpc_scenario_base_stock,7876,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.433690742481,-0.2030673698,-0.2030673698,0.975286019636,0.880128205128,0.763807203834,0.0778116877222,0,0.062133464191,1,0,0.93,156
approximate_dp_inventory,7876,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.383379999924,-0.095683475434,-0.095683475434,0.98548075173,0.92636608382,0.931987751782,0.0530671311895,0,0.0639252077784,1,0,0.93,156
