audit,epsilon,method,seed,mean_welfare,avg_cost,fill_rate,ending_backlog,avg_inventory,avg_order,service_breach_count,theta_rmse,p_rmse
same_benchmark_inventory_direct_p_vs_z,0.01,direct_p_inventory,25061,-6.316935054813779,6.953823258482672,0.9999845606148615,0.014466703874784825,20.04390070784157,23.292756204969827,0.099609375,0.01514955020562682,0.017939723843497
same_benchmark_inventory_direct_p_vs_z,0.01,direct_p_inventory,26061,-6.3346210262951015,6.971466910096416,0.9999646221939144,0.031058860898596295,20.077218851603888,23.37102154848222,0.095703125,0.01520477790689644,0.018029366164670293
same_benchmark_inventory_direct_p_vs_z,0.01,direct_p_inventory,27061,-6.248724018528616,6.885129436515168,0.9999828061545689,0.015570876716337834,19.817241421694085,23.06116609820857,0.115234375,0.015086778026953308,0.017860301814020603
same_benchmark_inventory_direct_p_vs_z,0.01,direct_p_inventory,28061,-6.279600460887627,6.917412145703178,0.9999828082581939,0.014565839639668711,19.969807914901708,23.19660003724333,0.068359375,0.01527094105013256,0.018087876408389575
same_benchmark_inventory_direct_p_vs_z,0.01,direct_p_inventory,29061,-6.3048132904002845,6.942318734512244,0.999995797701495,0.003966079448564787,20.011093339634414,23.31731716040144,0.08203125,0.015151981407934698,0.017962391914535292
same_benchmark_inventory_direct_p_vs_z,0.01,direct_p_inventory,30061,-6.248470056635696,6.886027712993796,0.9999657031385127,0.02900395479164141,19.874323358670516,23.078383413055658,0.072265625,0.015211166616325838,0.01799184621004002
same_benchmark_inventory_direct_p_vs_z,0.01,direct_p_inventory,31061,-6.281447446587968,6.918835074103091,0.9999883948456405,0.009389124872587383,19.941639277290122,23.25007556480548,0.083984375,0.015135180553263817,0.017931791728902434
same_benchmark_inventory_direct_p_vs_z,0.01,direct_p_inventory,32061,-6.250910526648473,6.887855688142323,0.9999770319054813,0.019353927990726195,19.839016035437645,23.109995325576698,0.095703125,0.015083565599678345,0.01787456945081999
same_benchmark_inventory_direct_p_vs_z,0.01,direct_p_inventory,33061,-6.313810395421458,6.95059496842649,0.9999935794381289,0.005029695812939862,20.027097099028897,23.270287399185946,0.10546875,0.015270040761546852,0.018096106699937865
same_benchmark_inventory_direct_p_vs_z,0.01,direct_p_inventory,34061,-6.250415624891149,6.888288133493809,0.9999757627940826,0.02000860255556368,19.86617865556678,23.133577362945523,0.064453125,0.015239365152690422,0.01805234207158221
same_benchmark_inventory_direct_p_vs_z,0.01,direct_p_inventory,35061,-6.357932201353809,6.99467854663606,0.9999814767540314,0.015624854479176206,20.15265523821221,23.352265021243035,0.103515625,0.015309317978888131,0.018136549939552497
same_benchmark_inventory_direct_p_vs_z,0.01,direct_p_inventory,36061,-6.291760350716663,6.928675135803282,0.9999585864170775,0.031122562453731538,19.972978601901435,23.220787056886014,0.091796875,0.015167520140854379,0.017974092384168812
same_benchmark_inventory_direct_p_vs_z,0.01,direct_p_inventory,37061,-6.2647073499143415,6.902066509870716,0.9999628637445468,0.032149701028832016,19.89161125076796,23.11365612226926,0.078125,0.01514130356713188,0.0179496995510471
same_benchmark_inventory_direct_p_vs_z,0.01,direct_p_inventory,38061,-6.266763249772414,6.903644850246247,0.999983735215479,0.013508827639928597,19.883304964561802,23.119181627954376,0.099609375,0.015053373642613997,0.01783307450626809
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,9061,-6.373016770061694,7.009796460983725,0.9999343754277539,0.05688630744495223,20.203022560802804,23.38786337786811,0.08984375,0.10561070330798249,0.1271331168903489
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,10061,-6.343461484302602,6.980134579407986,0.999979644700673,0.01726104572409027,20.100993493365195,23.326349505730455,0.10546875,0.10490011844793927,0.12619505170483986
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,11061,-6.255017622462036,6.891129359147762,0.9999680686482157,0.02493512198597933,19.825697287415018,22.99336528410698,0.12109375,0.10552710637751614,0.1269257273842271
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,12061,-6.307916970568382,6.944375555495693,0.9999674793659141,0.026762781617008506,19.997061996802074,23.19626681856029,0.109375,0.10494198219360436,0.12638371095141396
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,13061,-6.334032985543427,6.970451666109553,0.9999624913207658,0.03192130338091007,20.068729984692002,23.295502920885298,0.109375,0.10489745176821284,0.126130622806395
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,14061,-6.304030997471024,6.940776567935536,0.9999447588080641,0.04775718541848325,19.999259643367125,23.20911244954869,0.09375,0.10552413928278699,0.1270034806497427
same_benchmark_inventory_direct_p_vs_z,0.01,z_inversion_inventory,15061,-6.303037471249571,6.94017152357331,0.9999786706029676,0.01946334130485511,19.97575924289437,23.282159809084,0.08984375,0.104735074021395,0.12590669214016012
