method,component,mean,ci_low,ci_high,paired_minus_frozen,paired_ci_low,paired_ci_high
expanded_action_mdp,undiscounted_lost,2.5694122314453125,2.5614279510196134,2.5773965118710116,0.9697189331054688,0.9646158857040408,0.9748219805068967
expanded_action_mdp,undiscounted_demand,21.60057830810547,21.583547955439723,21.617608660771214,0.0,0.0,0.0
frozen_contract,net_reward,-5.946227099101593,-5.953635692633432,-5.938818505569754,0.0,0.0,0.0
frozen_contract,physical_cost,9.587351673051952,9.58248992104432,9.592213425059583,0.0,0.0,0.0
frozen_contract,premium,7.209150019773643,7.2005538562656835,7.217746183281603,0.0,0.0,0.0
frozen_contract,liability,0.8648174387945327,0.8620467378004346,0.8675881397886307,0.0,0.0,0.0
frozen_contract,maintenance,2.703208007028852,2.703208007028852,2.703208007028852,0.0,0.0,0.0
frozen_contract,adjustment,0.0,0.0,0.0,0.0,0.0,0.0
frozen_contract,filled_demand,18.022328276909157,18.008681303917868,18.035975249900446,0.0,0.0,0.0
frozen_contract,lost_demand,1.441362397990871,1.4367445630007076,1.4459802329810343,0.0,0.0,0.0
frozen_contract,demand,19.46369067490004,19.448693583024063,19.478687766776016,0.0,0.0,0.0
frozen_contract,undiscounted_filled,20.000885009765625,19.98532117494938,20.01644884458187,0.0,0.0,0.0
frozen_contract,undiscounted_lost,1.5996932983398438,1.5945987462387656,1.6047878504409219,0.0,0.0,0.0
frozen_contract,undiscounted_demand,21.60057830810547,21.583547955439723,21.617608660771214,0.0,0.0,0.0
capacity_matched_gate,net_reward,-5.946227099101593,-5.953635692633432,-5.938818505569754,0.0,0.0,0.0
capacity_matched_gate,physical_cost,9.587351673051952,9.58248992104432,9.592213425059583,0.0,0.0,0.0
capacity_matched_gate,premium,7.209150019773643,7.2005538562656835,7.217746183281603,0.0,0.0,0.0
capacity_matched_gate,liability,0.8648174387945327,0.8620467378004346,0.8675881397886307,0.0,0.0,0.0
capacity_matched_gate,maintenance,2.703208007028852,2.703208007028852,2.703208007028852,0.0,0.0,0.0
capacity_matched_gate,adjustment,0.0,0.0,0.0,0.0,0.0,0.0
capacity_matched_gate,filled_demand,18.022328276909157,18.008681303917868,18.035975249900446,0.0,0.0,0.0
capacity_matched_gate,lost_demand,1.441362397990871,1.4367445630007076,1.4459802329810343,0.0,0.0,0.0
capacity_matched_gate,demand,19.46369067490004,19.448693583024063,19.478687766776016,0.0,0.0,0.0
capacity_matched_gate,undiscounted_filled,20.000885009765625,19.98532117494938,20.01644884458187,0.0,0.0,0.0
capacity_matched_gate,undiscounted_lost,1.5996932983398438,1.5945987462387656,1.6047878504409219,0.0,0.0,0.0
capacity_matched_gate,undiscounted_demand,21.60057830810547,21.583547955439723,21.617608660771214,0.0,0.0,0.0
physical_oracle,net_reward,-11.969648371152052,-11.989875980389805,-11.9494207619143,-6.02342127205046,-6.039052512386447,-6.007790031714474
physical_oracle,physical_cost,8.505687685168725,8.499219181349549,8.512156188987902,-1.081663987883228,-1.0875549387690486,-1.0757730369974072
physical_oracle,premium,14.418300039547287,14.401107712531367,14.435492366563206,7.209150019773643,7.2005538562656835,7.217746183281603
physical_oracle,liability,6.91942869741552,6.909542538965393,6.9293148558656465,6.054611258620987,6.047049343376178,6.062173173865797
physical_oracle,maintenance,10.812832028115407,10.812832028115407,10.812832028115407,8.109624021086555,8.109624021086555,8.109624021086555
physical_oracle,adjustment,0.1499999999999884,0.1499999999999884,0.1499999999999884,0.1499999999999884,0.1499999999999884,0.1499999999999884
physical_oracle,filled_demand,13.69750009372048,13.685218011645395,13.709782175795565,-4.324828183188679,-4.329540943897336,-4.320115422480021
physical_oracle,lost_demand,5.7661905811795995,5.757952115804494,5.774429046554705,4.324828183188728,4.320115422480072,4.329540943897385
