batch,seed,epsilon,k,zeta,direct_p_mse,inferred_p_mse,induced_z_mse,slope_parity_error,intercept_parity_error,direct_design_condition,z_design_condition
10,2026092410,0.0001,0.9997563386412581,0.014138689731749355,1.9790285914645677e-08,1.9790285914717814e-08,3.958057182943563e-12,4.440892098500626e-16,5.854691731421724e-17,7.062516058267396,22.861554317386066
11,2026092411,0.1,1.0215301895710118,0.45684218898980566,0.00015451635432123546,0.0001545163543212291,3.090327086424582e-05,4.440892098500626e-16,5.551115123125783e-17,6.843251172132467,3.4330345349018
11,2026092411,0.01,1.0037749062230328,0.1419552085950394,4.749972330897206e-06,4.7499723308960885e-06,9.499944661792176e-08,4.440892098500626e-16,3.9898639947466563e-17,6.843251172132467,2.970569793424671
11,2026092411,0.001,1.0008903764091412,0.04476117839352382,2.6425671665175375e-07,2.6425671665162193e-07,5.285134333032438e-10,2.220446049250313e-16,3.599551212651875e-17,6.843251172132467,7.649075667809034
11,2026092411,0.0001,1.0002512263675087,0.014145688501092518,2.1038229243878656e-08,2.1038229243915842e-08,4.207645848783169e-12,2.220446049250313e-16,5.368833632876657e-17,6.843251172132467,23.71273577759155
12,2026092412,0.1,0.9496637920333683,0.42470255895136705,0.0008445779441533336,0.0008445779441533224,0.0001689155888306645,3.3306690738754696e-16,9.71445146547012e-17,7.030085420804127,3.5213812352512512
12,2026092412,0.01,0.9852372878036119,0.1393335934567553,7.264589046446237e-05,7.264589046445691e-05,1.452917809289138e-06,5.551115123125783e-16,2.42861286636753e-17,7.030085420804127,2.996316609784772
12,2026092412,0.001,0.995447119941654,0.044517748563918505,6.909572275228153e-06,6.9095722752278165e-06,1.3819144550455634e-08,1.1102230246251565e-16,8.131516293641283e-17,7.030085420804127,7.647508524153958
12,2026092412,0.0001,0.9985718028541943,0.014121937865997544,6.799156957624829e-07,6.799156957623771e-07,1.3598313915247543e-10,1.1102230246251565e-16,2.6313925539402094e-17,7.030085420804127,23.684473162399723
13,2026092413,0.1,1.0607823677353352,0.47439629671787825,0.0012314987425045053,0.0012314987425045413,0.0002462997485009083,8.881784197001252e-16,6.938893903907228e-17,6.950658291958472,3.4880733596427973
13,2026092413,0.01,1.023281847296539,0.14471390665769598,0.00018068147117978738,0.00018068147117978738,3.6136294235957476e-06,0.0,6.938893903907228e-17,6.950658291958472,3.0022329590568297
13,2026092413,0.001,1.0077684440527692,0.04506877492962375,2.011624100033515e-05,2.011624100033975e-05,4.02324820006795e-08,8.881784197001252e-16,3.0357660829594124e-17,6.950658291958472,7.697241804748068
13,2026092413,0.0001,1.0024972054575785,0.014177451441992353,2.0786783657865775e-06,2.078678365787317e-06,4.157356731574634e-10,4.440892098500626e-16,5.585674067373758e-17,6.950658291958472,23.849565359767208
14,2026092414,0.1,1.009457611973949,0.4514431681556712,2.9815474749927194e-05,2.9815474749928594e-05,5.963094949985719e-06,2.220446049250313e-16,1.942890293094024e-16,6.88049945816495,3.441090515441972
14,2026092414,0.01,1.0000595409532695,0.14142977659967246,1.1817083720819857e-09,1.181708372055544e-09,2.3634167441110885e-11,6.661338147750939e-16,3.642919299551295e-17,6.88049945816495,2.9373218114964863
14,2026092414,0.001,0.9997257066473276,0.04470909277834873,2.5078947773416803e-08,2.5078947773538617e-08,5.015789554707724e-11,6.661338147750939e-16,1.3227266504323154e-17,6.88049945816495,7.537365337247307
14,2026092414,0.0001,0.9998839486403197,0.014140494409663027,4.489306027881459e-09,4.4893060279158175e-09,8.978612055831635e-13,4.440892098500626e-16,3.117081245895825e-17,6.88049945816495,23.359690946622575
15,2026092415,0.1,0.9656109145204615,0.43183432893669826,0.0003942030667063341,0.00039420306670632897,7.884061334126581e-05,2.220446049250313e-16,6.938893903907228e-17,6.963443244176288,3.4839851814082525
15,2026092415,0.01,0.9953209968936784,0.1407596452721749,7.297690022989164e-06,7.297690022989164e-06,1.459538004597833e-07,0.0,9.367506770274758e-17,6.963443244176288,2.9634159150392985
15,2026092415,0.001,0.9991399473575243,0.044682896826539704,2.4656351594313545e-07,2.4656351594326277e-07,4.931270318865255e-10,2.220446049250313e-16,6.678685382510707e-17,6.963443244176288,7.5791202353412865
15,2026092415,0.0001,0.9997899852799167,0.014139165567076553,1.4702060883889918e-08,1.4702060883889918e-08,2.9404121767779836e-12,0.0,5.345116710353537e-17,6.963443244176288,23.47951521596124
16,2026092416,0.1,1.0360890034731045,0.46335308850117524,0.00043413872389391647,0.00043413872389390574,8.682774477878116e-05,4.440892098500626e-16,2.7755575615628914e-17,6.883750465777159,3.46735332221768
16,2026092416,0.01,1.004832966224895,0.14210484087548325,7.785854176991717e-06,7.785854176991717e-06,1.5571708353983437e-07,0.0,2.7755575615628914e-17,6.883750465777159,3.0365989427544835
16,2026092416,0.001,1.000870380240416,0.04476028413767264,2.525205876355199e-07,2.5252058763539107e-07,5.050411752707821e-10,2.220446049250313e-16,1.452830911130576e-17,6.883750465777159,7.8247960924190005
16,2026092416,0.0001,1.0002094446117995,0.014145097617836685,1.4622348470614841e-08,1.4622348470676848e-08,2.92446969413537e-12,4.440892098500626e-16,3.3285006695304986e-17,6.883750465777159,24.256003038009432
17,2026092417,0.1,0.9016156506675435,0.40321477689406665,0.0032264933978569475,0.0032264933978568746,0.000645298679571375,1.1102230246251565e-15,1.1102230246251565e-16,6.875568856590151,3.4781469658326145
17,2026092417,0.01,0.9693703732580617,0.13708967288242205,0.0003127246781168197,0.00031272467811681743,6.2544935623363485e-06,1.1102230246251565e-16,2.2551405187698492e-17,6.875568856590151,3.0937718055672105
17,2026092417,0.001,0.9903622851873155,0.0442903478406174,3.0961848936879375e-05,3.0961848936880805e-05,6.19236978737616e-08,2.220446049250313e-16,1.1709383462843448e-17,6.875568856590151,7.995330087561073
17,2026092417,0.0001,0.9969571093378627,0.014099102651298828,3.086394527240699e-06,3.0863945272397984e-06,6.172789054479597e-10,4.440892098500626e-16,3.08455518072126e-17,6.875568856590151,24.789524767457987
18,2026092418,0.1,1.1426416251414486,0.5110048695474222,0.006782211074331183,0.006782211074331141,0.0013564422148662281,4.440892098500626e-16,5.551115123125783e-17,6.87826197981478,3.4789315710053366
18,2026092418,0.01,1.0400566154758402,0.1470862171241792,0.0005348441477931059,0.0005348441477931059,1.0696882955862119e-05,0.0,2.5153490401663703e-17,6.87826197981478,3.0922017682805416
18,2026092418,0.001,1.012161951327756,0.045265258548153935,4.930435336623526e-05,4.930435336623885e-05,9.860870673247771e-08,4.440892098500626e-16,1.3877787807814457e-17,6.87826197981478,7.989630601439538
18,2026092418,0.0001,1.0037954404289446,0.014195811257028875,4.80178934988916e-06,4.801789349888598e-06,9.603578699777197e-10,2.220446049250313e-16,1.0299920638612292e-17,6.87826197981478,24.77138581504907
19,2026092419,0.1,1.0086777183051505,0.45109438910393984,2.5100931661181454e-05,2.51009316611776e-05,5.02018633223552e-06,6.661338147750939e-16,2.7755575615628914e-17,6.845409783907682,3.440405085237214
19,2026092419,0.01,1.0037255492847985,0.14194822846989455,4.626572491154236e-06,4.626572491152582e-06,9.253144982305164e-08,6.661338147750939e-16,2.862293735361732e-17,6.845409783907682,2.996225888617226
19,2026092419,0.001,1.001276263508621,0.044778435789245355,5.429495144791768e-07,5.429495144787989e-07,1.0858990289575977e-09,4.440892098500626e-16,1.6019087098473328e-17,6.845409783907682,7.722795024094867
19,2026092419,0.0001,1.0004134040962898,0.014147982040528083,5.6967648943051065e-08,5.6967648942989873e-08,1.1393529788597975e-11,2.220446049250313e-16,3.686287386450715e-18,6.845409783907682,23.942459026265432
20,2026092420,0.1,0.9765989456695126,0.436748325854331,0.00018253644792614178,0.00018253644792613484,3.650728958522697e-05,4.440892098500626e-16,5.551115123125783e-17,6.961287161162449,3.477072484135958
20,2026092420,0.01,0.9933362992624234,0.14047896664144188,1.4801635839992999e-05,1.4801635839992506e-05,2.9603271679985013e-07,1.1102230246251565e-16,4.336808689942018e-17,6.961287161162449,2.9394571818566804
20,2026092420,0.001,0.9979663890419294,0.04463041370315511,1.378524509594998e-06,1.3785245095948476e-06,2.7570490191896954e-09,1.1102230246251565e-16,7.15573433840433e-18,6.961287161162449,7.510483391314662
20,2026092420,0.0001,0.9993642793737395,0.014133145176415578,1.3471357155101164e-07,1.3471357155082344e-07,2.6942714310164685e-11,4.440892098500626e-16,3.343408449402174e-17,6.961287161162449,23.265772922803414
21,2026092421,0.1,1.0291032395094772,0.46022895988168766,0.00028233284998199906,0.00028233284998199906,5.6466569996399816e-05,0.0,2.7755575615628914e-17,6.921097250188207,3.447109473658154
21,2026092421,0.01,1.0208607852266858,0.14437151677624266,0.00014505745342463714,0.00014505745342464023,2.901149068492805e-06,2.220446049250313e-16,2.949029909160572e-17,6.921097250188207,2.8898448564694483
21,2026092421,0.001,1.0077625127908663,0.04506850967552758,2.0085534942787432e-05,2.0085534942788584e-05,4.0171069885577163e-08,2.220446049250313e-16,6.562133648968516e-17,6.921097250188207,7.3833940609779685
21,2026092421,0.0001,1.0025712974066614,0.014178499260384902,2.203856784501212e-06,2.2038567845008317e-06,4.4077135690016633e-10,2.220446049250313e-16,2.599374708533997e-17,6.921097250188207,22.874701220784715
22,2026092422,0.1,0.9695380001727567,0.4335905750310967,0.00030931114449165675,0.0003093111444916861,6.186222889833721e-05,1.4432899320127035e-15,9.71445146547012e-17,6.875584732349967,3.4717430468218473
22,2026092422,0.01,0.9878805155114853,0.1397074023040466,4.8960634755783145e-05,4.8960634755789426e-05,9.792126951157886e-07,7.771561172376096e-16,1.734723475976807e-18,6.875584732349967,3.068311997203523
22,2026092422,0.001,0.9959188270614471,0.044538843947625015,5.551990851458903e-06,5.551990851461319e-06,1.1103981702922636e-08,8.881784197001252e-16,5.594483210025203e-17,6.875584732349967,7.920794168756706
22,2026092422,0.0001,0.9986845542555648,0.014123532411607475,5.76799168850898e-07,5.76799168851677e-07,1.1535983377033541e-10,8.881784197001252e-16,9.042246118529107e-17,6.875584732349967,24.556740578118994
23,2026092423,0.1,0.9091792585256186,0.406597325159228,0.0027494690273188044,0.002749469027318764,0.0005498938054637527,6.661338147750939e-16,2.7755575615628914e-17,6.943598047310862,3.4876829993704503
