method,seed,mean_utility,cew,sharpe,max_drawdown,turnover,theta_stability
fixed_pref_joint_rl,24067,0.07484815787493357,0.07772049508982204,1.1785626571377186,-0.06748868793511065,0.28470496373814347,0.0
fixed_pref_joint_rl,25067,0.06481867262115996,0.06696553677832595,1.2744589985516863,-0.04400224084804211,0.33651910228698445,0.0
fixed_pref_joint_rl,26067,0.0658930501156795,0.0681124765512835,1.167985514264739,-0.06166700636061956,0.32982624251481996,0.0
fixed_pref_joint_rl,27067,0.06310165965764439,0.06513511499870939,1.3330964650666468,-0.03778783266004819,0.31130571805425494,0.0
fixed_pref_joint_rl,28067,0.05960356450549467,0.061415680277621565,1.323397316725473,-0.03179821417572497,0.26303450642193693,0.0
fixed_pref_joint_rl,29067,0.07197599206096875,0.07462954411353673,1.3795357520362788,-0.040715569414224106,0.2880699393919901,0.0
fixed_pref_joint_rl,30067,0.07204258774382821,0.07470111218488373,1.13521277664933,-0.06841555295538745,0.2959715893652286,0.0
oracle_factor_joint_rl,1097,0.08137364405633751,0.08477614101100217,1.2315446432055053,-0.06444536871623974,0.28602870156713006,0.0
oracle_factor_joint_rl,2097,0.10021843120928403,0.10541234826273227,1.618932005837741,-0.05470493537294839,0.3784634322628054,0.0
oracle_factor_joint_rl,3097,0.08704718212843784,0.09094815175980342,1.4187821353773633,-0.06162202687327421,0.39227278775568697,0.0
oracle_factor_joint_rl,4097,0.09490140822265607,0.09955044314945671,1.486925665504498,-0.0593130468636147,0.38381496709901713,0.0
oracle_factor_joint_rl,5097,0.09109465583534013,0.09537268376789076,1.5269292925817426,-0.053423116467491705,0.356222670411064,0.0
oracle_factor_joint_rl,6097,0.09356755144832962,0.09808477805311289,1.5022301146638504,-0.06126500426268618,0.37987235380465706,0.0
oracle_factor_joint_rl,7097,0.08882135219341222,0.09288539730647116,1.5010001189668842,-0.055104308398257314,0.38428695554601006,0.0
oracle_factor_joint_rl,8097,0.1107255000865341,0.11708822414333397,1.6518658587081747,-0.05645097058913853,0.32155485545853224,0.0
oracle_factor_joint_rl,9097,0.08003389808568417,0.08332378965519815,1.4227635008427963,-0.05633326386105306,0.37663538938325,0.0
oracle_factor_joint_rl,10097,0.1069723193831983,0.11290344819907228,1.6520348032092884,-0.05569687268220329,0.3885276078151618,0.0
oracle_factor_joint_rl,11097,0.08403651997799721,0.08766861471739618,1.4555922594952693,-0.05696725503234426,0.3837701877644766,0.0
oracle_factor_joint_rl,12097,0.0925362592836369,0.09695291556611285,1.448332129165857,-0.05929568634064388,0.3724010747415019,0.0
oracle_factor_joint_rl,13097,0.0876450877554883,0.09160063083957959,1.471002795540332,-0.057295539152679764,0.3854791939384012,0.0
oracle_factor_joint_rl,14097,0.08067929327481248,0.08402318728696612,1.3168111659681832,-0.060044042439487924,0.3599915257252022,0.0
oracle_factor_joint_rl,15097,0.09583711090382804,0.1005797769472907,1.535411986763334,-0.057208337936157434,0.3902842959403112,0.0
oracle_factor_joint_rl,16097,0.09911881047585418,0.10419748199407652,1.5814403117124323,-0.05803183915593782,0.39022109353332984,0.0
oracle_factor_joint_rl,17097,0.09092554981012094,0.09518746530842526,1.5206757730191023,-0.05410587505128983,0.3618679219160547,0.0
oracle_factor_joint_rl,18097,0.08804350547612871,0.09203563052480557,1.524637824967679,-0.05373844895306331,0.361300645948129,0.0
oracle_factor_joint_rl,19097,0.09878551716712347,0.10382952168457127,1.5510971028319869,-0.059035586569228374,0.4053792720928962,0.0
oracle_factor_joint_rl,20097,0.08638664197120641,0.09022777464130871,1.4025257118987584,-0.060608732779679195,0.3951957765667325,0.0
oracle_factor_joint_rl,21097,0.09558348621783311,0.1003006781416198,1.4885232810354894,-0.06053721476167406,0.35999530021851656,0.0
oracle_factor_joint_rl,22097,0.0810366623093478,0.08441065283679183,1.424958710762618,-0.05412912438501436,0.3579357690692298,0.0
oracle_factor_joint_rl,23097,0.09885552837698962,0.10390680483018211,1.5510236744723933,-0.05791542965027567,0.39787694555564174,0.0
oracle_factor_joint_rl,24097,0.09411430791139869,0.09868532716460443,1.4943574209856019,-0.05891746556050245,0.38020767497641017,0.0
oracle_factor_joint_rl,25097,0.09373685015743913,0.09827069812610034,1.4996871238637133,-0.05922172643125105,0.4066092982295922,0.0
oracle_factor_joint_rl,26097,0.08426312352830355,0.08791511221459714,1.3232133605092493,-0.061797020028886915,0.3282126781983548,0.0
oracle_factor_joint_rl,27097,0.09933419677212565,0.1044353366144688,1.5945233449669702,-0.05441775602423618,0.3740568682383713,0.0
oracle_factor_joint_rl,28097,0.10116623777665198,0.10646056201953602,1.6159599059837513,-0.057270571496763636,0.40018202842171063,0.0
oracle_factor_joint_rl,29097,0.09453636926682317,0.09914913765432942,1.5452045644763936,-0.057603624359329406,0.3848276043253602,0.0
oracle_factor_joint_rl,30097,0.08865538947359321,0.09270403412366335,1.4659857114201695,-0.06120010214524589,0.4094985824822448,0.0
signal_only_joint_rl,1127,0.046070258530534834,0.047147979450788524,1.0188938982980111,-0.06454676022085072,0.41228432486318767,0.0
