method,seed,mean_utility,cew,ruin_prob,surplus_ratio,adaptation_lag,wealth_terminal
augmented_state_rl,23031,-2.7572268664093253,-0.9365324715209994,1.0,0.0,0.5,1.0450463289015366
augmented_state_rl,24031,-2.7641287786592272,-0.9369690106230639,1.0,0.0,0.5,1.0157018186938893
augmented_state_rl,25031,-2.75720370807832,-0.9365310017019476,1.0,0.0,0.5,1.032059143267888
augmented_state_rl,26031,-2.7577484490543407,-0.9365655664507553,1.0,0.0,0.5,1.0271885955521167
augmented_state_rl,27031,-2.7888318307353277,-0.938506993786091,1.0,0.0,0.5,0.9740725952200124
augmented_state_rl,28031,-2.7632540052439696,-0.9369138486656303,1.0,0.0,0.5,1.0204686983679183
augmented_state_rl,29031,-2.756761246251639,-0.9365029128793654,1.0,0.0,0.5,1.0294364928696105
augmented_state_rl,30031,-2.7670703445998353,-0.937154148004214,1.0,0.0,0.5,1.0186091620190796
preference_only,1041,-2.7618112836794144,-0.9368227672278966,1.0,0.0,0.5,0.9652833926502216
preference_only,2041,-2.7755956927247554,-0.9376876533798288,1.0,0.0,0.5,0.9359478418825282
preference_only,3041,-2.763808500554873,-0.9369488199441272,1.0,0.0,0.5,0.962290799760715
preference_only,4041,-2.7658881375597044,-0.9370798072611249,1.0,0.0,0.5,0.9546416956300693
preference_only,5041,-2.763429314721022,-0.9369249072964603,1.0,0.0,0.5,0.9640240999580576
preference_only,6041,-2.7711506897919675,-0.9374100583179825,1.0,0.0,0.5,0.9453972823584619
preference_only,7041,-2.7610300964674295,-0.9367733946994834,1.0,0.0,0.5,0.9679044723050141
preference_only,8041,-2.7675814600563413,-0.9371862612830507,1.0,0.0,0.5,0.9533594009697488
preference_only,9041,-2.762678656637152,-0.9368775416927689,1.0,0.0,0.5,0.9617303442650184
preference_only,10041,-2.769106076177552,-0.9372819551549858,1.0,0.0,0.5,0.9496190528201236
preference_only,11041,-2.7669644589610485,-0.9371474931787114,1.0,0.0,0.5,0.9518224900415699
preference_only,12041,-2.7645946391484264,-0.9369983674319902,1.0,0.0,0.5,0.9654969371090351
