method,seed,param_dim,cem_iterations,cem_population,policy_evaluations,search_mean_welfare,mean_welfare,avg_cost,fill_rate,ending_backlog,avg_inventory,avg_order,theta_std,service_breach_count
full_ndu_inventory,30061,12,11,26,286,-3.7905062855804044,-3.696960877426185,4.300790704244355,0.9997633963210215,0.22058895389836317,8.806867894254488,22.914178247163164,0.1265689423359972,1.142578125
action_only_adaptive_base_stock,1161,7,9,22,198,-3.6032092142214567,-3.752208562551793,4.34020764502864,0.9995863110908558,0.3729668424696577,8.241597582229334,22.917771757769486,0.0,1.623046875
action_only_adaptive_base_stock,2161,7,9,22,198,-3.8206468438683334,-3.7132916831397886,4.31286730054588,0.9997443154570115,0.23368073134811904,8.658417353642793,22.968038292359054,0.0,1.279296875
action_only_adaptive_base_stock,3161,7,9,22,198,-3.7029661089512014,-3.680859512271401,4.275710208938776,0.9996370988021719,0.3234181246173059,8.347311091319362,22.966752732643158,0.0,1.408203125
action_only_adaptive_base_stock,4161,7,9,22,198,-3.7684697012564023,-3.729223499311367,4.327112145560829,0.9997019010936826,0.2683264992430829,8.663406123873951,22.886855513662532,0.0,1.32421875
action_only_adaptive_base_stock,5161,7,9,22,198,-3.72153579377238,-3.743226566769093,4.342080220324691,0.9995808277881998,0.37442238590242843,8.862017183690632,22.856696174132402,0.0,1.259765625
action_only_adaptive_base_stock,6161,7,9,22,198,-3.6928147264192965,-3.739141598633025,4.336117774861508,0.9997270024973104,0.2519840062849083,8.585449971099335,22.971276319704323,0.0,1.361328125
action_only_adaptive_base_stock,7161,7,9,22,198,-3.736646946456736,-3.7572895379950024,4.347496412616577,0.999649882765197,0.3242371395731791,8.311324721545226,22.980983735867994,0.0,1.56640625
action_only_adaptive_base_stock,8161,7,9,22,198,-3.703749042346729,-3.7222529366929944,4.312126705519496,0.9996375414158127,0.327441977329045,8.221939165118105,23.04217541722572,0.0,1.57421875
action_only_adaptive_base_stock,9161,7,9,22,198,-3.524349717110321,-3.733596223508006,4.318657788840172,0.9995926566040207,0.3809532114255156,8.025766549129951,23.00499334116919,0.0,1.72265625
action_only_adaptive_base_stock,10161,7,9,22,198,-3.698242677184668,-3.728840703118624,4.325001051022911,0.9995884028630359,0.3773815612334602,8.57111155640571,22.965945476879423,0.0,1.3515625
action_only_adaptive_base_stock,11161,7,9,22,198,-3.7727415204400714,-3.6842587988584747,4.286022320420441,0.9997101862889958,0.2686007745576555,8.665560101197505,22.956327766828174,0.0,1.197265625
action_only_adaptive_base_stock,12161,7,9,22,198,-3.709331366606057,-3.7934949647062686,4.3854628218071765,0.9995697126063634,0.38847165503312936,8.636450304150587,22.965139984927152,0.0,1.486328125
action_only_adaptive_base_stock,13161,7,9,22,198,-3.6476126502764377,-3.7375296184288684,4.3250484859080505,0.9995922021848977,0.3630463289617484,8.202203662233734,22.564114993874387,0.0,1.640625
action_only_adaptive_base_stock,14161,7,9,22,198,-3.6814540119627384,-3.688439960668917,4.287890972560111,0.9998239546113993,0.1607070698680388,8.483537862241729,22.928740357684056,0.0,1.3046875
action_only_adaptive_base_stock,15161,7,9,22,198,-3.657882584813778,-3.7250890765372757,4.320590271524966,0.9997403837484612,0.23597791704692514,8.494546556477708,22.906107416783954,0.0,1.4140625
action_only_adaptive_base_stock,16161,7,9,22,198,-3.7200147586871473,-3.772504599345324,4.354612876108019,0.9996043549078371,0.3729481350816286,7.882841903506079,23.049935881327848,0.0,1.82421875
action_only_adaptive_base_stock,17161,7,9,22,198,-3.7700991985922414,-3.7432847548906105,4.331573056549181,0.9995638697385711,0.4156102039768373,8.205609148354537,23.103211160345364,0.0,1.607421875
action_only_adaptive_base_stock,18161,7,9,22,198,-3.7271258437639077,-3.7068948003989277,4.3012324040182435,0.9996974738899145,0.2764369277349574,8.399432151874827,22.902057347195974,0.0,1.44140625
action_only_adaptive_base_stock,19161,7,9,22,198,-3.8566690251611817,-3.7148752508684915,4.315121639260914,0.9997475954240528,0.23138670394245614,8.720514431335694,22.978254111947404,0.0,1.2578125
