audit,epsilon,method,seed,training_samples,noise_std,network,train_p_rmse_direct,train_p_rmse_z_inverted,mean_welfare,avg_cost,fill_rate,ending_backlog,avg_inventory,avg_order,service_breach_count,theta_rmse,p_rmse
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,oracle_p_inventory,18841,720,0.03,numpy_tanh_mlp_width_32,0.012770637312826485,0.08290991521997354,-6.272168762679861,6.909581434446214,0.9999695527207941,0.027063748684244528,19.904275864584708,23.229155926061033,0.078125,0.0,0.0
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,neural_direct_p_inventory,18841,720,0.03,numpy_tanh_mlp_width_32,0.012770637312826485,0.08290991521997354,-6.265225436342183,6.902758184030636,0.9999699137735567,0.026735052113821343,19.887120526120878,23.22286546719109,0.07421875,0.011747222865839733,0.014625035259142247
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,neural_learned_z_inventory,18841,720,0.03,numpy_tanh_mlp_width_32,0.012770637312826485,0.08290991521997354,-6.239352824901611,6.876427386768198,0.9999712342958236,0.025528853643072225,19.767291865853892,23.25390638263317,0.08984375,0.06477382481372719,0.07926236144289076
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,oracle_p_inventory,19841,720,0.03,numpy_tanh_mlp_width_32,0.009445085445277543,0.12843558192365168,-6.292522661033767,6.930154733990436,0.9999750052133336,0.020367189533470248,19.98948300448519,23.27381250641739,0.072265625,0.0,0.0
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,neural_direct_p_inventory,19841,720,0.03,numpy_tanh_mlp_width_32,0.009445085445277543,0.12843558192365168,-6.279336697393636,6.9169732399605195,0.9999755639146104,0.01990664995222293,19.94455949678308,23.270176665907517,0.072265625,0.0074982009843100345,0.009730946072193528
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,neural_learned_z_inventory,19841,720,0.03,numpy_tanh_mlp_width_32,0.009445085445277543,0.12843558192365168,-6.472973807960537,7.1100975282592085,0.999992027537334,0.00627432811819717,20.590925055473715,23.346443830031916,0.09375,0.1266057063294696,0.1515605361256953
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,oracle_p_inventory,20841,720,0.03,numpy_tanh_mlp_width_32,0.017504804781176473,0.07292618834016723,-6.28613114027044,6.92313344125996,0.9999768501236902,0.018278675991954874,19.942913003631837,23.215754213544653,0.09375,0.0,0.0
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,neural_direct_p_inventory,20841,720,0.03,numpy_tanh_mlp_width_32,0.017504804781176473,0.07292618834016723,-6.2670701976945935,6.904127662557689,0.9999764213891369,0.01867098050763418,19.87701642976714,23.211315213644276,0.091796875,0.012176687097410951,0.014937862842903703
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,neural_learned_z_inventory,20841,720,0.03,numpy_tanh_mlp_width_32,0.017504804781176473,0.07292618834016723,-6.26149629775647,6.898200358328209,0.9999835153839673,0.012702461999820606,19.83534777084662,23.238275951013385,0.10546875,0.0634128623012069,0.07694109674593338
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,oracle_p_inventory,21841,720,0.03,numpy_tanh_mlp_width_32,0.012752623585390109,0.05787514409754211,-6.273628842571367,6.910874936321367,1.0,0.0,19.91006792136784,23.143147077902846,0.091796875,0.0,0.0
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,neural_direct_p_inventory,21841,720,0.03,numpy_tanh_mlp_width_32,0.012752623585390109,0.05787514409754211,-6.2866775990707975,6.9233963490707975,1.0,0.0,19.947479734041984,23.145329543255407,0.109375,0.010734352992763907,0.01348025345106802
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,neural_learned_z_inventory,21841,720,0.03,numpy_tanh_mlp_width_32,0.012752623585390109,0.05787514409754211,-6.3875277163647715,7.025242560114771,1.0,0.0,20.346158201019932,23.135874780086315,0.076171875,0.05894991469809555,0.07160973889224749
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,oracle_p_inventory,22841,720,0.03,numpy_tanh_mlp_width_32,0.007833458717582238,0.1462107484680905,-6.31023521259022,6.947957109188451,0.9999642605122789,0.03262623464380634,20.056101820018743,23.271570250481936,0.06640625,0.0,0.0
