method,seed,mean_utility,cew,sharpe,max_drawdown,adaptation_lag,regime_detection_acc
full_ndu_joint,30023,0.011343379276574188,0.011407959357733422,1.443375672974064,0.0,0.5,0.605224609375
fixed_pref_recurrent_rl,1043,-0.00963586668221546,-0.009589590475254206,0.4526521890794109,-0.021662672846942635,0.5,0.383544921875
fixed_pref_recurrent_rl,2043,0.0024137155459013483,0.0024166309024113986,1.093519101563728,-0.008297471991696089,0.5,0.37532552083333337
fixed_pref_recurrent_rl,3043,0.0052659674324890896,0.005279857008972266,1.3427391788513519,-0.004133451394584322,0.5,0.38606770833333337
fixed_pref_recurrent_rl,4043,0.0019919302980930327,0.00199391550916439,1.3545172812176929,-0.004787247896646576,0.5,0.397216796875
fixed_pref_recurrent_rl,5043,-0.0014234708992458254,-0.0014224582450969026,0.8296139391149123,-0.008520316497891046,0.5,0.6012369791666667
fixed_pref_recurrent_rl,6043,0.0012253342640921767,0.0012260852928440702,0.9118966162621847,-0.0084505996630913,0.5,0.39200846354166663
fixed_pref_recurrent_rl,7043,-0.001166465025443869,-0.0011657849695622113,0.8774837368120594,-0.009806343020717218,0.5,0.604248046875
fixed_pref_recurrent_rl,8043,-0.002470363727195812,-0.0024673148898193276,0.5989346044374492,-0.011182959578874989,0.5,0.39013671875
fixed_pref_recurrent_rl,9043,0.002036541172786487,0.00203861633123692,1.2106280235411222,-0.006655599611194366,0.5,0.381591796875
fixed_pref_recurrent_rl,10043,-0.005914047920140117,-0.00589659436274792,0.5856608645916943,-0.014790300109448802,0.4900716145833333,0.3961588541666667
fixed_pref_recurrent_rl,11043,-0.0003365024524250522,-0.0003364458418249061,0.8422513999501966,-0.009458366644545106,0.5,0.3919270833333333
fixed_pref_recurrent_rl,12043,-0.005097001933328139,-0.005084034260413595,0.7507232440516685,-0.010080893677606324,0.5,0.8252766927083334
fixed_pref_recurrent_rl,13043,0.0034137815308998834,0.0034196151193801594,1.0529580585446001,-0.005687121584613384,0.5,0.38330078125
fixed_pref_recurrent_rl,14043,0.002154532879275404,0.002156855553032022,1.111350401989483,-0.00789684359326945,0.5,0.4092610677083333
fixed_pref_recurrent_rl,15043,0.006110795166854989,0.006129504165178545,1.4071214482627208,-0.00375420557691045,0.5,0.6312662760416667
fixed_pref_recurrent_rl,16043,0.0018919349458919365,0.0018937257840165866,0.8977320513961475,-0.009112595428269454,0.5,0.394775390625
