config,seed_index,method,train_seed,eval_seed,iterations,population,policy_evaluations,objective,search_score,mean_welfare,mean_welfare_no_theta_cost,avg_cost,avg_cost_no_theta,fill_rate,ending_backlog,avg_inventory,avg_order,theta_std,theta_mean_abs_deviation_from_one,service_breach_count
welfare_1536_confirm24,10,action_only_adaptive_base_stock,23161,1199010,32,48,1536,welfare,-3.632846612014646,-3.7098300965187208,-3.7098300965187208,4.3025697460488965,4.3025697460488965,0.9996490968162721,0.3150637531468851,8.244725994784957,22.959703839812033,0.0,0.0,1.4817708333333333
welfare_1536_confirm24,11,full_ndu_inventory,24061,1199011,32,48,1536,welfare,-3.650965970030029,-3.664481481631834,-3.6631860259169304,4.261645920611623,4.26035046489672,0.9997285626849736,0.25526734028890974,8.397008438350904,22.85565467304419,0.06500534979678604,0.1513677556767029,1.35546875
welfare_1536_confirm24,11,action_only_adaptive_base_stock,24161,1199011,32,48,1536,welfare,-3.7345680256778686,-3.683583113510547,-3.683583113510547,4.2822012247341,4.2822012247341,0.9997442560904443,0.23943203380675745,8.529474551782672,22.86212826198542,0.0,0.0,1.3111979166666667
welfare_1536_confirm24,12,full_ndu_inventory,25061,1199012,32,48,1536,welfare,-3.8408590016731883,-3.7196954652650995,-3.718225612259136,4.328985543552828,4.327515690546863,0.9998233691609659,0.1613647527778371,9.17816207938189,22.90426393875954,0.13643599305755505,0.14611514147137933,0.9765625
welfare_1536_confirm24,12,action_only_adaptive_base_stock,25161,1199012,32,48,1536,welfare,-3.637641737554113,-3.696862819751537,-3.696862819751537,4.2891538123942246,4.2891538123942246,0.9995930147053359,0.36829367787769307,8.316791260878666,22.856045663505455,0.0,0.0,1.4817708333333333
welfare_1536_confirm24,13,full_ndu_inventory,26061,1199013,32,48,1536,welfare,-3.681715400757307,-3.6650615959796013,-3.6637147255862677,4.259882942106714,4.2585360717133804,0.9996602854533893,0.32413900727743156,8.231232668757904,22.908337904179945,0.08658142718272488,0.1495509110672354,1.4153645833333333
welfare_1536_confirm24,13,action_only_adaptive_base_stock,26161,1199013,32,48,1536,welfare,-3.6628698177658943,-3.6789247969160552,-3.6789247969160552,4.272897255782872,4.272897255782872,0.999681127670852,0.30306480642212447,8.186771641493335,22.91445077607429,0.0,0.0,1.44921875
welfare_1536_confirm24,14,full_ndu_inventory,27061,1199014,32,48,1536,welfare,-3.5548205553263856,-3.7022201272506265,-3.6996975902006213,4.288912625821639,4.2863900887716335,0.9997086326338765,0.26803731147857496,7.8540339502316145,23.00932277083174,0.16761228295093442,0.19118787722561,1.69921875
welfare_1536_confirm24,14,action_only_adaptive_base_stock,27161,1199014,32,48,1536,welfare,-3.706507615605385,-3.6895962301225924,-3.6895962301225924,4.284579482676395,4.284579482676395,0.9997000550067252,0.2780886871112163,8.368276236773847,23.00684061184234,0.0,0.0,1.4205729166666667
welfare_1536_confirm24,15,full_ndu_inventory,28061,1199015,32,48,1536,welfare,-3.777677588708984,-3.690276628738696,-3.6893106035148926,4.2901539721011765,4.289187946877374,0.9997209960453102,0.2547214212314638,8.577444399178548,22.96241274368045,0.07084945667256495,0.12460505828759692,1.2630208333333333
welfare_1536_confirm24,15,action_only_adaptive_base_stock,28161,1199015,32,48,1536,welfare,-3.6690447409169384,-3.7002991719623473,-3.7002991719623473,4.296443528055559,4.296443528055559,0.9997133570116518,0.25875778181809067,8.427557923191836,22.96247503992934,0.0,0.0,1.3854166666666667
